date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-09-01,Turkcell Global Bilgi,Cloud/DevOps,Devops Uzmanı,Permanent,LinkedIn,closed,,high,"Full application, written in Turkish. Fit ~71/100 Good Fit. Gaps: Jenkins/GitLab CI/OpenShift/BitBucket/Artifactory/SonarQube not held, acknowledged. CLOSED 2026-09-12: no longer accepting applications (drafted 2026-09-01, never submitted)",cv/main_turkcellglobalbilgi.tex,cover_letters/cover_turkcellglobalbilgi_devopsuzmani.tex,linkedin.com
2026-09-01,Hepsiburada,Cloud/DevOps,DevOps Engineer - Hepsi Finansal,Permanent,LinkedIn,closed,İdil Kadıoğlu,medium,"Full application, written in Turkish, addressed to named recruiter. Fit ~48/100 Moderate Fit - posting wants 4+ yrs, Selim has under 1 yr, real gap acknowledged not spun. Strongest match: Grafana/observability + Ansible/IaC. CLOSED 2026-09-12: no longer accepting applications (drafted 2026-09-01, never submitted)",cv/main_hepsiburada.tex,cover_letters/cover_hepsiburada_devopsengineer.tex,linkedin.com
2026-09-12,Dream Games,Cloud/DevOps,DevOps Engineer (New Grad),Permanent (new grad),LinkedIn,applied,,high,"Applied 2026-09-16. Full application. Strongest fit of the 2026-09-12 rescrape: posting asks for a fresh engineering graduate, interest in GCP/AWS, IaC and containers. 250,000 TL net/month stated. Games-industry gap acknowledged honestly via IVAO Aurora real-time simulation work. Deliberately NOT also applying to the older Dream Games DevOps Engineer posting to avoid a scattered double application. Switched to one-page CV format 2026-09-16.",cv/onepage_dreamgames.tex,cover_letters/cover_dreamgames_devopsengineernewgrad.tex,linkedin.com
2026-09-12,adesso Turkey,Cloud/DevOps,DevOps Engineer (AWS),Permanent,LinkedIn,applied,,medium,Applied 2026-09-16. Full application. Re-post of the adesso DevOps line after the Azure role closed. Two real gaps stated plainly in the cover letter: posting wants 3+ yrs (Selim under 1) and AWS (Selim's depth is Azure/AZ-900). OpenShift also absent. Switched to one-page CV format 2026-09-16.,cv/onepage_adesso.tex,cover_letters/cover_adesso_devopsengineeraws.tex,linkedin.com
2026-09-12,WeDo Technology,Cloud/DevOps,Cloud Engineer,Permanent (hybrid),LinkedIn,closed,,high,"Tailored CV only (fast tier). Kadikoy, hybrid. Best-matched junior posting of the batch: explicitly wants 'new graduate or up to 2 years', prefers Azure exposure (AZ-900 held), and values personal projects/GitHub work. Consider upgrading to a full application if no response. CLOSED 2026-09-16: no longer accepting applications (never submitted).",cv/main_wedo.tex,,linkedin.com
2026-09-12,Clerion,Cloud/DevOps,Cloud & DevOps Engineer,Permanent (on-site),LinkedIn,applied,,medium,"Applied 2026-09-16. Tailored CV only (fast tier). Levent, on-site 5 days/week. Wants 1-3 yrs and hands-on AWS; Selim's cloud depth is Azure, framed as transferable with AWS certification as a near-term goal. Posting does accept 'IaC experience or strong willingness to develop it'. Switched to one-page CV format 2026-09-16.",cv/onepage_clerion.tex,,linkedin.com
2026-09-12,Ericsson,Cloud/DevOps,DevOps Engineer,Permanent,LinkedIn,applied,,medium,"Applied 2026-09-16. Tailored CV only (fast tier). Istanbul (Izmir twin posting also open). Strong overlap on Python/Bash automation, Docker, CI/CD, PostgreSQL, and the posting's stated interest in integrating AI services such as Claude. Real gap: required Java depth (Spring, Hibernate, EJB, Quarkus). Switched to one-page CV format 2026-09-16.",cv/onepage_ericsson.tex,,linkedin.com
2026-09-12,Peak,Software Engineering,"Software Engineer, Backend (New Grad)",Permanent (new grad),LinkedIn,applied,,medium,"Applied 2026-09-16. Tailored CV only (fast tier). New-grad game-backend role. Gap: posting wants Java Spring Boot experience, which Selim does not have - stated plainly in the CV profile rather than implied. Removed an inaccurate Django skills claim inherited from the Volt Lines CV (also corrected there). Switched to one-page CV format 2026-09-16.",cv/onepage_peak.tex,,linkedin.com
2026-09-17,TEB Arf,Software Engineering,Software Engineer - New Graduate (Urla),Permanent (new grad),LinkedIn,drafted,,high,"Full application. Entry level, explicitly for fresh graduates; Digital Channels team, AI-as-a-tool framing matched to Selim's LLM tooling and Claude Code use. On-site Urla Teknopark, Izmir - cover letter states willingness to relocate. Under-a-year experience acknowledged directly.",cv/onepage_tebarf.tex,cover_letters/cover_tebarf_softwareengineernewgraduate.tex,linkedin.com
2026-09-17,TeamSec,Software Engineering,Python Developer - Junior / Mid Level,Permanent,LinkedIn,drafted,,high,"Tailored CV only. Python + PostgreSQL backend for financial applications; on-site Sisli, Istanbul. Closest stack match of the 2026-09-16 scrape.",cv/onepage_teamsec.tex,,linkedin.com
2026-09-17,CBOT,Cloud/DevOps,DevSecOps Engineer,Permanent,LinkedIn,drafted,,high,"Tailored CV only. Listed as entry level despite the DevSecOps title. Strong overlap on CI/CD, Docker/K8s, Terraform/Helm, cloud. Gap: application security tooling (SonarQube, Fortify, SAST/SCA) - not claimed on the CV.",cv/onepage_cbot.tex,,linkedin.com
2026-09-17,TEB,Cloud/DevOps,DevOps Engineer,Permanent,LinkedIn,drafted,,medium,"Tailored CV only. Specialist (Uzman) level, years not stated. Banking infrastructure angle leans on Intertech. Gaps: OpenShift/Rancher, Azure DevOps, Maven/Sonar/Nexus, production Java.",cv/onepage_teb.tex,,linkedin.com
2026-09-17,OBSS,Software Engineering,.NET Full Stack Developer,Permanent (hybrid),LinkedIn,drafted,,medium,Tailored CV only. STRETCH: posting wants 2-3 yrs plus .NET Core/MVC/WebAPI/Entity Framework and React; Selim's C# is via IVAO/Blazor open source with no commercial .NET Core or EF - stated plainly in the CV profile rather than implied. GCP and Redis also absent.,cv/onepage_obss.tex,,linkedin.com
2026-09-17,Virtuagym,Software Engineering,Software Engineer (remote from Turkey),Permanent (remote),LinkedIn,drafted,,medium,"Tailored CV only. STRETCH: posting wants 3+ yrs professional experience with PHP, Python and/or JavaScript; Selim has under a year and no PHP. Applied on the Python/TypeScript and distributed-systems overlap. Remote role based in Turkey.",cv/onepage_virtuagym.tex,,linkedin.com
